scope,id,name,spirit,styles,price,deck_copies,deck_games,deck_inclusion_rate,average_copies_when_included,drawn,selected,pick_rate_when_drawn,selection_share,selected_side_win_rate,served,service_share,served_win_rate,flags
random,d18,Bourbon Flip,Whiskey,Creamy|Sweet,18,71798,56306,0.56306,1.2751394167584271,187235,75487,0.403167142895292,0.02248053981646764,0.4966418058738591,23479,0.02097661561662977,0.5770688700540909,
random,d19,Midnight Mojito,Rum,Fresh|Sweet,14,71411,55981,0.55981,1.2756292313463498,186606,67952,0.3641469191773041,0.020236565787600636,0.4921120791146692,22602,0.020193085998852847,0.4362445801256526,
random,d20,Spiced Daiquiri,Rum,Sour|Spicy,14,71481,56008,0.56008,1.276264105127839,186845,63296,0.3387620755171399,0.01884997745602734,0.48633404954499493,21331,0.019057548776282192,0.4180769771693779,
random,d21,Tropical Fizz,Rum,Fruity,12,70640,55603,0.55603,1.2704350484686078,184648,46317,0.25083943503314415,0.013793516270077388,0.5072003799900684,16035,0.014325994778851669,0.5547240411599625,
random,d22,Blackstrap Old Fashioned,Rum,Bitter|Strong,18,71021,55752,0.55752,1.273873583010475,185335,94209,0.5083173712466614,0.028056078206440845,0.46694052585209483,25142,0.02246237360336069,0.43274202529631695,
random,d23,Coconut Cream Punch,Rum,Creamy|Sweet,16,71878,56376,0.56376,1.2749751667376188,187536,56978,0.30382433239484685,0.01696843426898265,0.5483168942398821,23856,0.021313435076039004,0.6618460764587525,
random,d24,Admiral's Reserve,Rum,Premium|Savory,22,71199,55927,0.55927,1.2730702522931678,185824,115602,0.6221047873256415,0.03442705848508078,0.49759519731492535,35807,0.03199070128134342,0.49219426369145697,
random,d25,Garden Gimlet,Gin,Fresh|Sour,14,71089,55902,0.55902,1.2716718543164824,185620,66423,0.3578439823294904,0.019781219232837842,0.48808394682564776,19557,0.017472621134393646,0.4416832847573759,
random,d26,Bitter Bloom,Gin,Bitter|Fresh,16,71626,56057,0.56057,1.2777351624239612,187038,89428,0.47812743934387664,0.02663226402833691,0.5029520955405465,30637,0.027371718243821553,0.4968828540653458,
random,d27,Bramble Night,Gin,Fruity|Sweet,16,70965,55683,0.55683,1.2744464199127201,185483,83191,0.4485101060474545,0.024774843189844076,0.49095455037203545,26726,0.02387755138506952,0.3841577490084562,
random,d28,Savory Gibson,Gin,Savory,18,71079,55956,0.55956,1.2702659232253914,185718,98533,0.5305516966583745,0.02934379468962876,0.4558472795916089,25754,0.023009146837202735,0.4017240040382077,
random,d29,Pepper Negroni,Gin,Bitter|Spicy,18,71530,56106,0.56106,1.2749082094606636,186671,103442,0.5541407074478628,0.03080572813458007,0.5173043831325768,38584,0.03447172950091754,0.5163798465685259,
random,d30,Crystal Gin Fizz,Gin,Premium|Clean,20,71452,56238,0.56238,1.2705288239268822,186717,106973,0.5729151603763986,0.031857283847377606,0.5567105718265357,43207,0.03860201162518516,0.6336241812669243,
random,d31,Sunset Paloma,Tequila,Fruity|Sour,14,71143,55968,0.55968,1.2711370783304745,186013,65280,0.35094321364635805,0.019440826092161665,0.47935049019607845,19985,0.017855005029956385,0.378083562672004,
random,d32,Desert Margarita,Tequila,Sour|Strong,16,71241,56182,0.56182,1.268039585632409,186034,75667,0.4067374780954019,0.022534145035471766,0.49987444989229124,25743,0.022999319213718648,0.5300081575573943,
random,d33,Spiced Ranch Water,Tequila,Spicy|Clean,14,71773,56360,0.5636,1.2734740951029098,187732,72297,0.3851074936611766,0.0215305362130057,0.556897243315767,30320,0.02708850400341644,0.6271437994722955,
random,d34,Agave Cream Flip,Tequila,Creamy|Sweet,16,71267,55965,0.55965,1.2734208880550344,185751,62718,0.3376455577628115,0.01867784514166966,0.4685576708440958,16811,0.015019288944638316,0.47629528285051453,
